point_id,original_events,channel,selected_events,sumw_pb,sumw2_pb2,nominal_yield,histogram_relative_mc,diagnostic_5percent
m100_m98,20000,SRmm_eMT2b_hghmet_cuts,9,6.440762035708758e-05,4.6092684000696917e-10,8.952659229635174,0.3333333333333333,exceeds_target
m100_m98,20000,SRmm_eMT2b_lowmet_V2_cuts,1,7.15640226189862e-06,5.1214093334107685e-11,0.9947399144039082,1.0,exceeds_target
m100_m98,20000,SRmm_eMT2c_hghmet_cuts,29,0.00020753566559505998,1.4852087066891229e-09,28.847457517713337,0.18569533817705186,exceeds_target
m100_m98,20000,SRmm_eMT2c_lowmet_V2_cuts,5,3.57820113094931e-05,2.5607046667053843e-10,4.973699572019541,0.4472135954999579,exceeds_target
m100_m98,20000,SRmm_eMT2d_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2d_lowmet_V2_cuts,1,7.15640226189862e-06,5.1214093334107685e-11,0.9947399144039082,1.0,exceeds_target
m100_m98,20000,SRmm_eMT2e_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2e_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2f_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2f_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2g_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2g_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2h_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2h_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,CRVV_MT2_hghmet_cuts,112,7.615473418809415e-05,5.1781639931918297e-11,10.585508052145087,0.09449111933672312,exceeds_target
m150_m140,60000,CRVV_MT2_lowmet_cuts,26,1.7678789163255715e-05,1.202075359356086e-11,2.4573516936925444,0.1961161373826402,exceeds_target
m150_m140,60000,CRtau_MT2_hghmet_cuts,19,1.2919239907205338e-05,8.784566496154157e-12,1.795774347101542,0.22941573637699,exceeds_target
m150_m140,60000,CRtau_MT2_lowmet_cuts,28,1.9038845721297548e-05,1.294563051409716e-11,2.646399555260359,0.1889822385888514,exceeds_target
m150_m140,60000,CRtop_MT2_hghmet_cuts,49,3.331749348944868e-05,2.2654191806317272e-11,4.6311315950333665,0.14285714453595813,exceeds_target
m150_m140,60000,CRtop_MT2_lowmet_cuts,14,9.519530976831447e-06,6.472962277793637e-12,1.3232148057795712,0.26726124467031015,exceeds_target
m150_m140,60000,SRee_eMT2a_hghmet_cuts,5,3.399925162739237e-06,2.311898259850634e-12,0.4725895976207539,0.4472135991177839,exceeds_target
m150_m140,60000,SRee_eMT2a_lowmet_V2_cuts,14,9.519530976831447e-06,6.472962277793637e-12,1.3232148057795712,0.26726124467031015,exceeds_target
m150_m140,60000,SRee_eMT2b_hghmet_cuts,17,1.156004827862489e-05,7.860865741578316e-12,1.6068467107288598,0.24253562630921718,exceeds_target
m150_m140,60000,SRee_eMT2b_lowmet_V2_cuts,16,1.0879803767238627e-05,7.398133239820051e-12,1.5122927236461692,0.25000000192563465,exceeds_target
m150_m140,60000,SRee_eMT2c_hghmet_cuts,33,2.2438338419306092e-05,1.5256940690967565e-11,3.118929040283547,0.17407765799261601,exceeds_target
m150_m140,60000,SRee_eMT2c_lowmet_V2_cuts,27,1.8359033674641978e-05,1.2483486095319125e-11,2.551905680775235,0.19245009175883518,exceeds_target
m150_m140,60000,SRee_eMT2d_hghmet_cuts,121,8.227628609347448e-05,5.594535032327233e-11,11.436403766992953,0.09090909182082033,exceeds_target
m150_m140,60000,SRee_eMT2d_lowmet_V2_cuts,73,4.963622609466256e-05,3.3750068479341834e-11,6.899435427158096,0.11704114857547923,exceeds_target
m150_m140,60000,SRee_eMT2e_hghmet_cuts,50,3.3996440606642864e-05,2.311516005913485e-11,4.725505244323358,0.14142135801375177,exceeds_target
m150_m140,60000,SRee_eMT2e_lowmet_V2_cuts,50,3.399795423320029e-05,2.311721834956565e-11,4.72571563841484,0.1414213577933458,exceeds_target
m150_m140,60000,SRee_eMT2f_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRee_eMT2f_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRee_eMT2g_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRee_eMT2g_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRee_eMT2h_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRee_eMT2h_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRmm_eMT2a_hghmet_cuts,16,1.0880019999603974e-05,7.398427281310166e-12,1.5123227799449523,0.250000001382452,exceeds_target
m150_m140,60000,SRmm_eMT2a_lowmet_V2_cuts,18,1.2240292790011154e-05,8.32359824333658e-12,1.7014006978115503,0.2357022610207468,exceeds_target
m150_m140,60000,SRmm_eMT2b_hghmet_cuts,38,2.583891227914137e-05,1.7569721075288542e-11,3.59160880680065,0.1622214227212461,exceeds_target
m150_m140,60000,SRmm_eMT2b_lowmet_V2_cuts,23,1.5638704326192965e-05,1.0633438212756412e-11,2.173779901340822,0.20851441656847824,exceeds_target
m150_m140,60000,SRmm_eMT2c_hghmet_cuts,81,5.507623609446455e-05,3.7449282119996917e-11,7.655596817130572,0.11111111238190256,exceeds_target
