campaign,kind,tag,m_parent,dm,comparison_status,limit_status,historical_only,reference_fb,limit_fb,residual,reported_raw_mu,reported_model_mu,sample_status,bracket_width_over_reported,linear_interpolation_match,first_interval,sr_s_imt2h_events,n_detector_events,detector_exposure_complete,signal_stat_nuisance_present
pdf_rescan,observed,m175_dm30,175.0,30.0,matched,legacy_reported,True,302.47,247.58163985695387,-0.18146712117911246,2.7424126060912375,2.4882288785656863,sampled_bracket,0.145820508231246,True,False,103.0,20000,True,False
pdf_rescan,observed,m175_dm40,175.0,40.0,matched,legacy_reported,True,268.23,292.33006619449264,0.08984851133166538,3.2380820287581,2.937956599683315,sampled_bracket,0.2468745365004215,True,False,65.0,20000,True,False
pdf_rescan,observed,m200_dm2,200.0,2.0,matched,legacy_reported,True,79.242,101.82971266441652,0.2850472308171994,1.8638543443527698,1.6795624870445711,sampled_bracket,0.21417982644916594,True,False,42.0,20000,True,False
pdf_rescan,observed,m200_dm5,200.0,5.0,matched,legacy_reported,True,38.733,47.45604135892081,0.2252095463537762,0.8686182700338477,0.782732119776779,sampled_bracket,0.21614512395237587,True,False,200.0,20000,True,False
pdf_rescan,observed,m200_dm10,200.0,10.0,matched,legacy_reported,True,37.495,26.800653294435758,-0.28522060822947704,0.4905494945168584,0.4420455555046589,sampled_bracket,0.13194329843451408,True,False,346.0,20000,True,False
pdf_rescan,observed,m200_dm20,200.0,20.0,matched,legacy_reported,True,78.76700000000001,66.31525442532308,-0.1580832782088556,1.213810506024233,1.0937928698536934,sampled_bracket,0.32945834462238244,True,False,178.0,20000,True,False
pdf_rescan,observed,m200_dm30,200.0,30.0,matched,legacy_reported,True,147.31,124.4835867135052,-0.15495494729817938,2.2785026867473275,2.0532117495586704,sampled_bracket,0.17586110489604828,True,False,107.0,20000,True,False
pdf_rescan,observed,m200_dm40,200.0,40.0,matched,legacy_reported,True,150.01,303.39599963123896,1.0225051638640021,5.553250983193043,5.004163582188748,sampled_bracket,0.14404175183525894,True,False,77.0,20000,True,False
pdf_rescan,observed,m225_dm2,225.0,2.0,matched,legacy_reported,True,53.833,78.28663093406627,0.4542498269475279,2.249807666713928,2.0165926098941065,sampled_bracket,0.17810411348862656,True,False,57.0,20000,True,False
pdf_rescan,observed,m225_dm5,225.0,5.0,matched,legacy_reported,True,35.82,32.33907252780443,-0.09717832139016103,0.9293629376993956,0.8330251780195319,sampled_bracket,0.13928835705921658,True,False,245.0,20000,True,False
pdf_rescan,observed,m225_dm10,225.0,10.0,matched,legacy_reported,True,30.735,27.809207565417548,-0.09519415762428673,0.7991833042171469,0.7163399650019845,sampled_bracket,0.17623747126639605,True,False,342.0,20000,True,False
pdf_rescan,observed,m225_dm20,225.0,20.0,matched,legacy_reported,True,77.102,55.864220632612884,-0.27545043406639413,1.605430587249347,1.4390116567936155,sampled_bracket,0.24878060949636513,True,False,219.0,20000,True,False
pdf_rescan,observed,m225_dm30,225.0,30.0,matched,legacy_reported,True,189.95999999999998,110.25555356975248,-0.41958542024767065,3.168533206237098,2.8400830624044087,ambiguous_samples,0.2524511967952355,True,False,124.0,20000,True,False
pdf_rescan,observed,m225_dm40,225.0,40.0,matched,legacy_reported,True,304.34,216.422881619533,-0.2888779601119372,6.219578649770053,5.574857143277867,sampled_bracket,0.2572360749966801,True,False,62.0,20000,True,False
pdf_rescan,observed,m250_dm2,250.0,2.0,quality_flag,unverified,False,,,,128.0,114.44697334082885,all_above,,,False,0.0,233,False,False
pdf_rescan,observed,m250_dm5,250.0,5.0,matched,legacy_reported,True,35.652,10.013369013112925,-0.7191358405387377,0.4333944202928553,0.3875053098853155,sampled_bracket,0.07954712851348265,True,False,3.0,221,False,False
pdf_rescan,observed,m250_dm10,250.0,10.0,matched,legacy_reported,True,22.349999999999998,21.30683669154671,-0.04667397353258562,0.9221935318787083,0.8245488949844323,sampled_bracket,0.20358807251801223,True,False,3.0,206,False,False
