sample,arm,predicate,count,sumw_pb,sumw2_pb2,unknown_count,conditional_status,conditional_ratio,conditional_mc_standard_error
anchor20k,low,baseline_lepton,16432,0.033512014651932986,6.834561380425911e-08,0,estimated,0.8216,0.002707152009032694
anchor20k,low,signal_jet,15526,0.03166428550912315,6.457728821353707e-08,0,estimated,0.9448636806231743,0.0017805667139122671
anchor20k,low,two_signal_leptons,6928,0.01412921357768937,2.8815628799647693e-08,0,estimated,0.44621924513718925,0.0039894523952433165
anchor20k,low,jpsi_veto,6922,0.01411697696084957,2.879067300103368e-08,0,estimated,0.999133949191686,0.0003534106266952501
anchor20k,low,min_jet_met_dphi,6548,0.01335422784450202,2.7235094887426832e-08,0,estimated,0.9459693730135799,0.002717332255611051
anchor20k,low,leading_jet_met_dphi,6119,0.012479309740456301,2.545075528652486e-08,0,estimated,0.9344838118509469,0.003057777400790335
anchor20k,low,mll_window,5391,0.010994600230560536,2.2422785054691213e-08,0,estimated,0.8810263114888054,0.004138849892971184
anchor20k,low,lepton_separation,5390,0.01099256079442057,2.241862575492221e-08,0,estimated,0.9998145056575775,0.00018547713754916317
anchor20k,low,leading_lepton_pt,5359,0.010929338274081601,2.228968746208314e-08,0,estimated,0.9942486085343228,0.0010300055804274189
anchor20k,low,jet_count,5359,0.010929338274081601,2.228968746208314e-08,0,estimated,1.0,0.0
anchor20k,low,leading_jet_pt,2735,0.005577857842808953,1.1375684868221199e-08,0,estimated,0.5103564097779436,0.006828651437757627
anchor20k,low,b_veto,2598,0.005298455091633514,1.0805860799867889e-08,0,estimated,0.9499085923217551,0.004171035257664301
anchor20k,low,mtautau_veto,2151,0.004386827137068394,8.946653803123877e-09,0,estimated,0.8279445727482679,0.007404832629321592
anchor20k,low,same_flavour,2151,0.004386827137068394,8.946653803123877e-09,0,estimated,1.0,0.0
anchor20k,low,opposite_charge,2136,0.0043562355949688936,8.884264306588843e-09,0,estimated,0.99302649930265,0.0017942610855273217
anchor20k,low,met_preselection,1682,0.003430331587424007,6.995942211461814e-09,0,estimated,0.7874531835205992,0.008851951986530968
anchor20k,low,met_low,465,0.0009483378050845204,1.9340743925860586e-09,0,estimated,0.27645659928656363,0.010905178492501236
anchor20k,low,risr_low,318,0.0006485406925094139,1.3226573265427258e-09,0,estimated,0.6838709677419355,0.021562186496228864
anchor20k,low,subleading_pt_low,153,0.0003120337294149067,6.363728646573522e-10,0,estimated,0.4811320754716981,0.028018637183760315
anchor20k,low,mt2_gt_100,153,0.0003120337294149067,6.363728646573522e-10,0,estimated,1.0,0.0
anchor20k,low,mt2_lt_140,153,0.0003120337294149067,6.363728646573522e-10,0,estimated,1.0,0.0
anchor20k,low,mt2_lt_130,153,0.0003120337294149067,6.363728646573522e-10,0,estimated,1.0,0.0
anchor20k,low,mt2_lt_120,153,0.0003120337294149067,6.363728646573522e-10,0,estimated,1.0,0.0
anchor20k,low,mt2_lt_110,153,0.0003120337294149067,6.363728646573522e-10,0,estimated,1.0,0.0
anchor20k,low,mt2_lt_105,114,0.000232495719956205,4.741601736662639e-10,0,estimated,0.7450980392156863,0.0352328344310147
anchor20k,low,mt2_lt_102,38,7.7498573318735e-05,1.58053391222088e-10,0,estimated,0.3333333333333333,0.044151078568834795
anchor20k,low,mt2_lt_101,17,3.467041437943408e-05,7.070809607303937e-11,0,estimated,0.4473684210526316,0.08066009201997748
anchor20k,low,mt2_lt_100p5,5,1.0197180699833552e-05,2.079649884501158e-11,0,estimated,0.29411764705882354,0.11051016901502639
