sample,flavour,pt_low_gev,pt_high_gev,raw_truth,raw_matched,contributing_events,truth_sumw,matched_sumw,event_truth_sumw2,event_matched_sumw2,event_truth_matched_cross,ratio,standard_error,precision_status
smoke2,muon,30,50,82,75,73,2.8563309758901596,2.6124978438019753,0.12133591082435502,0.11041567885016307,0.11162903795840662,0.9146341463414634,0.030761888099578596,event_cluster_delta_approximation
smoke2,muon,50,100,16,14,15,0.5573328733444214,0.4876662641763687,0.021840463948383904,0.019413745731896803,0.019413745731896803,0.875,0.08341467384399459,event_cluster_delta_approximation
smoke2,muon,100,,1,0,1,0.03483330458402634,0.0,0.0012133591082435502,0.0,0.0,0.0,,boundary_count_precision_unresolved
anchor20k,electron,0,2,543,0,531,18.769726440310478,0.0,0.6774843786996028,0.0,0.0,0.0,,boundary_count_precision_unresolved
anchor20k,electron,2,3,698,0,690,24.127567321062088,0.0,0.8531284768809813,0.0,0.0,0.0,,boundary_count_precision_unresolved
anchor20k,electron,3,4,859,0,829,29.692808493971825,0.0,1.098074328086305,0.0,0.0,0.0,,boundary_count_precision_unresolved
anchor20k,electron,4,5,980,108,953,33.87538105249405,3.733205258846283,1.2354829763234378,0.13143435918334445,0.14218807948016354,0.11020408163265306,0.010015049906097846,event_cluster_delta_approximation
anchor20k,electron,5,7,1958,764,1848,67.68162867426872,26.408970534801483,2.6024003118301344,0.9558862486061415,1.009654850090237,0.390194075587334,0.011097855911847539,event_cluster_delta_approximation
anchor20k,electron,7,10,2895,1438,2675,100.0706409662962,49.706936687231064,3.98485079887658,1.8496398910528837,1.9750999611824398,0.49671848013816927,0.009324446463522445,event_cluster_delta_approximation
anchor20k,electron,10,15,3891,2252,3493,134.49908946454525,77.84424299001694,5.600298559020788,3.0229902612167754,3.2476235296392355,0.5787715240298124,0.007937338148266821,event_cluster_delta_approximation
anchor20k,electron,15,20,2966,1728,2727,102.52487775683403,59.73128414154053,4.115090300249157,2.2415532529813627,2.383741332461514,0.5826028320971005,0.0090493027436066,event_cluster_delta_approximation
anchor20k,electron,20,30,3139,1952,2850,108.50491951406002,67.4742283821106,4.441286482585971,2.621518036802253,2.76848554752545,0.6218540936604015,0.008722738193227482,event_cluster_delta_approximation
anchor20k,electron,30,50,1690,1152,1534,58.41774895787239,39.82085609436035,2.392105337136819,1.5413665758774031,1.6285911960627135,0.6816568047337278,0.011258861822133112,event_cluster_delta_approximation
anchor20k,electron,50,100,368,282,336,12.720551252365112,9.747813731431961,0.5161785742473164,0.37996478382094123,0.3931082197392757,0.7663043478260869,0.022317674529781353,event_cluster_delta_approximation
anchor20k,electron,100,,15,14,15,0.5185007303953171,0.4839340150356293,0.017922867161365152,0.016728009350607476,0.016728009350607476,0.9333333333333333,0.06440611887195312,event_cluster_delta_approximation
anchor20k,muon,0,2,524,0,519,18.11295884847641,0.0,0.6380540709445994,0.0,0.0,0.0,,boundary_count_precision_unresolved
anchor20k,muon,2,3,677,7,670,23.401666298508644,0.24196700751781464,0.8256467472335547,0.008364004675303738,0.008364004675303738,0.0103397341211226,0.0038882155144708427,event_cluster_delta_approximation
anchor20k,muon,3,4,848,474,821,29.31257462501526,16.38462308049202,1.0777617453034245,0.5926494741358077,0.6093774834864152,0.5589622641509434,0.016994160181111377,event_cluster_delta_approximation
anchor20k,muon,4,5,1011,616,979,34.94694922864437,21.293096661567688,1.2844721465645026,0.7599295676418825,0.780242150424763,0.609297725024728,0.015302425328545746,event_cluster_delta_approximation
anchor20k,muon,5,7,2017,1337,1902,69.7210648804903,46.215698435902596,2.684845500772397,1.7146209584372663,1.7755587067859078,0.6628656420426375,0.010543752135378366,event_cluster_delta_approximation
anchor20k,muon,7,10,2729,1927,2497,94.33256621658802,66.6100604981184,3.8151809897490185,2.586867160290282,2.697988936690751,0.7061194576768047,0.0087347530883362,event_cluster_delta_approximation
anchor20k,muon,10,15,4011,2940,3578,138.6470953077078,101.62614315748215,5.82732154306473,4.095972575277042,4.28476010937679,0.7329842931937173,0.007013151199490965,event_cluster_delta_approximation
anchor20k,muon,15,20,2891,2262,2658,99.93237410485744,78.18991014361382,4.01113767071324,3.080343436133135,3.152034904778599,0.7824282255274991,0.007773496132052301,event_cluster_delta_approximation
anchor20k,muon,20,30,3166,2608,2861,109.43822082877159,90.1499936580658,4.511783093420675,3.615639735352511,3.7207872226992045,0.8237523689197725,0.006759191432214733,event_cluster_delta_approximation
anchor20k,muon,30,50,1773,1542,1612,61.28678633272648,53.301875084638596,2.50322711353727,2.119677756284103,2.1710566421466764,0.8697123519458545,0.00793885883604646,event_cluster_delta_approximation
anchor20k,muon,50,100,346,315,309,11.96008351445198,10.888515338301659,0.5018402805182243,0.44568196341261346,0.4528511102771595,0.9104046242774566,0.01609820320400465,event_cluster_delta_approximation
anchor20k,muon,100,,5,5,5,0.17283357679843903,0.17283357679843903,0.005974289053788384,0.005974289053788384,0.005974289053788384,1.0,,boundary_count_precision_unresolved
