category,nominal_N,nominal_selected,nominal_sigmaK_pb,nominal_raw_fraction,nominal_weighted_fraction,nominal_rate_pb,lower_N,lower_selected,lower_sigmaK_pb,lower_fraction,lower_rate_pb,rate_ratio,conditional_95_low,conditional_95_high,with_integration_95_low,with_integration_95_high,equivalence
SRee_eMT2c_lowmet_V2_cuts,60000,27,0.04079737349333333,0.00045,0.0004500052997365962,1.835903428733333e-05,20000,5,0.09096911459999998,0.00025,2.2742278649999996e-05,1.238751357727506,,,,,unresolved
SRee_eMT2d_hghmet_cuts,60000,121,0.04079737349333333,0.0020166666666666666,0.0020167055314017058,8.227628879066666e-05,20000,21,0.09096911459999998,0.00105,9.551757032999998e-05,1.1609367866971099,0.623362820765723,1.6985107526284966,0.6233328536135544,1.6985407197806652,not_established
SRee_eMT2d_lowmet_V2_cuts,60000,73,0.04079737349333333,0.0012166666666666667,0.0012166525340357433,4.963622784266666e-05,20000,8,0.09096911459999998,0.00039999999999999996,3.638764583999999e-05,0.7330864455562363,,,,,unresolved
SRee_eMT2e_hghmet_cuts,60000,50,0.04079737349333333,0.0008333333333333334,0.0008332997683348904,3.3996441880666665e-05,20000,15,0.09096911459999998,0.00075,6.822683594999998e-05,2.006881666895844,0.8493688985571561,3.1643944352345317,0.849327561677633,3.1644357721140546,not_established
SRee_eMT2e_lowmet_V2_cuts,60000,50,0.04079737349333333,0.0008333333333333334,0.0008333368664910641,3.3997955387999995e-05,20000,11,0.09096911459999998,0.00055,5.003301302999999e-05,1.4716477052517039,0.5113521230605047,2.431943287442903,0.5113254418108029,2.431969968692605,not_established
SRee_eMT2f_hghmet_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRee_eMT2f_lowmet_V2_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRee_eMT2g_hghmet_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRee_eMT2g_lowmet_V2_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRee_eMT2h_hghmet_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRee_eMT2h_lowmet_V2_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRmm_eMT2a_hghmet_cuts,60000,16,0.04079737349333333,0.0002666666666666667,0.0002666843324553208,1.0880020315999999e-05,20000,3,0.09096911459999998,0.00015,1.3645367189999996e-05,1.2541674366116136,,,,,unresolved
SRmm_eMT2a_lowmet_V2_cuts,60000,18,0.04079737349333333,0.0003,0.00030002649868298114,1.2240293124666663e-05,20000,3,0.09096911459999998,0.00015,1.3645367189999996e-05,1.114790883765833,,,,,unresolved
SRmm_eMT2b_hghmet_cuts,60000,38,0.04079737349333333,0.0006333333333333333,0.0006333474659642566,2.5838913119999994e-05,20000,5,0.09096911459999998,0.00025,2.2742278649999996e-05,0.8801561638595734,,,,,unresolved
SRmm_eMT2b_lowmet_V2_cuts,60000,23,0.04079737349333333,0.00038333333333333334,0.00038332626701787165,1.5638704885333332e-05,20000,3,0.09096911459999998,0.00015,1.3645367189999996e-05,0.8725381858696767,,,,,unresolved
SRmm_eMT2c_hghmet_cuts,60000,81,0.04079737349333333,0.00135,0.0013499947002634037,5.507623800066666e-05,20000,19,0.09096911459999998,0.00095,8.642065886999998e-05,1.5691096924403938,0.7855733555875168,2.352646029293271,0.7855362973358436,2.352683087544944,not_established
SRmm_eMT2c_lowmet_V2_cuts,60000,41,0.04079737349333333,0.0006833333333333333,0.0006833368664910641,2.7878349363999996e-05,20000,10,0.09096911459999998,0.0005,4.548455729999999e-05,1.6315369574475356,0.5040235319811628,2.7590503829139084,0.5039955885740897,2.7590783263209815,not_established
SRmm_eMT2d_hghmet_cuts,60000,172,0.04079737349333333,0.0028666666666666667,0.0028666472342991473,0.00011695167789133333,20000,35,0.09096911459999998,0.00175,0.00015919595054999998,1.3612113431832786,0.8669701394179523,1.855452546948605,0.8669259575780266,1.8554967287885307,not_established
SRmm_eMT2d_lowmet_V2_cuts,60000,139,0.04079737349333333,0.0023166666666666665,0.002316652534035743,9.451333868533331e-05,20000,32,0.09096911459999998,0.0015999999999999999,0.00014555058335999997,1.5400004421025355,0.9487008714793597,2.1313000127257116,0.94865359665592,2.131347287549151,not_established
SRmm_eMT2e_hghmet_cuts,60000,82,0.04079737349333333,0.0013666666666666666,0.0013666419345625509,5.5755401436e-05,20000,22,0.09096911459999998,0.0011,0.00010006602605999998,1.794732411259972,0.9506321574999381,2.638832665020006,0.9505872120162715,2.6388776105036724,not_established
SRmm_eMT2e_lowmet_V2_cuts,60000,86,0.04079737349333333,0.0014333333333333333,0.0014333633651740453,5.847746056066666e-05,20000,15,0.09096911459999998,0.00075,6.822683594999998e-05,1.1667202251236435,0.527140382468307,1.80630006777898,0.5271149045501369,1.80632554569715,not_established
SRmm_eMT2f_hghmet_cuts,60000,1,0.04079737349333333,1.6666666666666667e-05,1.666843324553208e-05,6.800282966666666e-07,20000,0,0.09096911459999998,0.0,0.0,0.0,,,,,unresolved
SRmm_eMT2f_lowmet_V2_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRmm_eMT2g_hghmet_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRmm_eMT2g_lowmet_V2_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRmm_eMT2h_hghmet_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SRmm_eMT2h_lowmet_V2_cuts,60000,0,0.04079737349333333,0.0,0.0,0.0,20000,0,0.09096911459999998,0.0,0.0,,,,,,unresolved
SR_high,60000,616,0.04079737349333333,0.010266666666666667,0.010266673732982127,0.0004188533228186666,20000,130,0.09096911459999998,0.0065,0.0005912992448999999,1.4117095715532617,1.1456117945446431,1.6778073485618803,1.1455233438286379,1.6778957992778856,not_established
SR_low,60000,487,0.04079737349333333,0.008116666666666666,0.008116716130874897,0.00033114069953066663,20000,92,0.09096911459999998,0.0046,0.00041845792715999993,1.2636861846130363,0.9828554512347716,1.544516917991301,0.9827881216766727,1.5445842475493998,not_established
